<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
15/08/22;000000;124.6;125.7;123.28;125;25301550
16/08/22;000000;125.17;126.86;124.53;126.39;27210450
17/08/22;000000;126.57;127.44;124.5;124.5;32862470
18/08/22;000000;124.39;126.5;123.92;126.3;25365910
19/08/22;000000;126.35;126.36;124.72;125.2;18581110
22/08/22;000000;125.08;126.69;124.7;126.06;24420350
23/08/22;000000;126.06;130.49;126.01;130.38;65383170
24/08/22;000000;130.6;131.64;127.85;128.15;45722080
25/08/22;000000;128.18;129.81;127.1;128.18;35847360
26/08/22;000000;128.14;130.5;127.62;130.4;32857860
29/08/22;000000;130.12;131.4;129.52;131.17;40725660
30/08/22;000000;131.2;132.6;129.65;130.05;50972000
31/08/22;000000;132.3;138.34;131.5;134.25;106571380
01/09/22;000000;133.98;138.22;132.02;138.2;54786340
02/09/22;000000;138.75;144.9;136.22;143.8;136591640
05/09/22;000000;143.48;145.1;139.11;141;87387950
06/09/22;000000;140.9;141.07;135.22;137.23;86562180
07/09/22;000000;136.96;139.19;135.41;136.86;60616830
08/09/22;000000;136.68;137.4;134;134.51;57655660
09/09/22;000000;134.45;138.47;134.23;138.15;48925660
12/09/22;000000;137.12;140.37;136.8;138.7;52455460
13/09/22;000000;138.71;139.37;136.15;137;44533690
14/09/22;000000;136.7;139.29;135.2;138.9;62768230
15/09/22;000000;139.15;140.28;137.61;139.48;56215930
16/09/22;000000;139.38;141.39;136.8;137.73;71732740
19/09/22;000000;137.45;139.08;137.07;138.04;33202580
20/09/22;000000;137.86;138.35;122.42;125.1;208908480
21/09/22;000000;112.5;123.98;109.27;120.23;134746110
22/09/22;000000;120.35;126.95;120.35;124.31;117343820
23/09/22;000000;124.45;124.5;117.35;119.39;85382140
26/09/22;000000;114.99;117.99;105;107.06;147877290
27/09/22;000000;110;113.89;107.07;112.92;90733010
28/09/22;000000;112;115.2;109.13;111.06;77869660
29/09/22;000000;111.59;112.2;107.68;110.41;67451840
30/09/22;000000;110.9;113.4;103.4;110.21;133531450
03/10/22;000000;110.67;114.65;109;114.35;73873990
04/10/22;000000;115.05;115.5;110.3;110.55;83422320
05/10/22;000000;110.46;110.49;106.25;108.51;90327920
06/10/22;000000;108.65;110.38;107.57;108.24;51634990
07/10/22;000000;107.72;108.48;101.3;101.5;90940030
10/10/22;000000;96.55;106.77;96.5;106.71;116896490
11/10/22;000000;106.55;108.3;104.26;107.72;76867120
12/10/22;000000;108.27;108.5;105.25;105.9;63331750
13/10/22;000000;105.7;107.3;104.8;106.5;46813160
14/10/22;000000;106.93;109.19;105.69;107.78;52538120
17/10/22;000000;107.99;112.76;107.65;112.44;78420110
18/10/22;000000;113.05;114.37;110.48;110.88;101627180
19/10/22;000000;110.2;112.93;109.3;112.39;90574840
20/10/22;000000;112.76;117.2;112.37;116.98;100612540
21/10/22;000000;116.93;119.94;114.37;119.45;102297020
24/10/22;000000;120.15;121.68;117.65;118.8;74327210
25/10/22;000000;118.86;125.2;118.3;124.36;114126120
26/10/22;000000;124.71;126.88;122.1;124.43;108350490
27/10/22;000000;124.75;127.5;123.68;126.61;87825200
28/10/22;000000;126.13;127.25;124.6;126.97;73494940
31/10/22;000000;127.2;128.6;125.41;126.72;60649080
01/11/22;000000;127.23;127.97;126.12;127.05;36720430
02/11/22;000000;127.05;127.74;123.75;125.49;40156380
03/11/22;000000;125.39;126.1;123.91;125.75;47535720
07/11/22;000000;127.02;132;126.5;132;91496790
08/11/22;000000;131.99;133.11;130.1;131.29;69371580
09/11/22;000000;131.06;131.47;126.42;127.3;64832870
10/11/22;000000;131.02;136.69;129.77;136.68;170890500
11/11/22;000000;137.71;138.42;135.13;136.98;75278900
14/11/22;000000;137.41;140.7;135.83;139.8;82383460
15/11/22;000000;140.4;141;130.86;135.66;145273030
16/11/22;000000;136.99;139.73;136.32;139.18;66816110
17/11/22;000000;139.11;140.35;136.6;137.57;59085810
18/11/22;000000;137.1;137.81;135.84;136.89;44009880
21/11/22;000000;136.01;136.3;132.51;134.46;83395500
22/11/22;000000;134.55;136;133.81;135.65;45774100
23/11/22;000000;135.7;137.55;134.5;136.59;52259060
24/11/22;000000;137;138.41;136.12;136.61;42319840
25/11/22;000000;137.2;137.24;135.41;136.53;29248180
28/11/22;000000;135.01;136.2;134.1;135.53;45047440
29/11/22;000000;136.29;137.2;135.88;136.37;31503750
